Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,8,Nou Barris,49,Canyelles,Home,90-94 anys,1
2007,8,Nou Barris,48,la Guineueta,Home,90-94 anys,3
2007,8,Nou Barris,47,Can Peguera,Home,90-94 anys,0
2007,8,Nou Barris,46,el Turó de la Peira,Home,90-94 anys,3
2007,8,Nou Barris,45,Porta,Home,90-94 anys,9
2007,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,90-94 anys,9
2007,7,Horta-Guinardó,43,Horta,Home,90-94 anys,9
2007,7,Horta-Guinardó,42,la Clota,Home,90-94 anys,0
2007,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Home,90-94 anys,2
2007,10,Sant Martí,70,el Besòs i el Maresme,Home,90-94 anys,1
2007,10,Sant Martí,71,Provençals del Poblenou,Home,90-94 anys,6
2007,10,Sant Martí,72,Sant Martí de Provençals,Home,90-94 anys,6
2007,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,95 anys i més,10
2007,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,95 anys i més,3
2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,95 anys i més,2
2007,5,Sarrià-Sant Gervasi,23,Sarrià,Home,95 anys i més,1
2007,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,95 anys i més,1
2007,4,Les Corts,21,Pedralbes,Home,95 anys i més,2
2007,4,Les Corts,20,la Maternitat i Sant Ramon,Home,95 anys i més,3
2007,4,Les Corts,19,les Corts,Home,95 anys i més,4
2007,3,Sants-Montjuïc,18,Sants,Home,95 anys i més,8
2007,3,Sants-Montjuïc,17,Sants - Badal,Home,95 anys i més,1
2007,3,Sants-Montjuïc,16,la Bordeta,Home,95 anys i més,2
2007,3,Sants-Montjuïc,15,Hostafrancs,Home,95 anys i més,2
2007,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,95 anys i més,2
2007,7,Horta-Guinardó,41,la Vall d'Hebron,Home,90-94 anys,1
2007,3,Sants-Montjuïc,13,la Marina de Port,Home,95 anys i més,1
2007,3,Sants-Montjuïc,11,el Poble Sec,Home,95 anys i més,1
2007,2,Eixample,10,Sant Antoni,Home,95 anys i més,9
2007,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,95 anys i més,5
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,95 anys i més,8
2007,2,Eixample,7,la Dreta de l'Eixample,Home,95 anys i més,9
2007,2,Eixample,6,la Sagrada Família,Home,95 anys i més,7
2007,2,Eixample,5,el Fort Pienc,Home,95 anys i més,6
2007,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,95 anys i més,2
2007,1,Ciutat Vella,3,la Barceloneta,Home,95 anys i més,4
2007,1,Ciutat Vella,2,el Barri Gòtic,Home,95 anys i més,1
2007,1,Ciutat Vella,1,el Raval,Home,95 anys i més,1
